Lucy Data Summary 20240120 13:17:21
 
Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (°C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (°C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (°C),TA pipette vol (ml),TA cell temp (°C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l)
0000_044_4_350_1_1, ,-999,-999,3,20240203,123619,0000,044,4,1,1,1,350,0,35,0,0,-999,21.8442,50,0,0,428,242671,10,24.29,96.7556,24.86,-999,-999,-999
0000_044_4_350_2_1, ,-999,-999,3,20240203,130342,0000,044,4,2,1,1,350,0,35,0,0,-999,21.8442,50,0,0,410,242499,10,24.35,96.7556,24.91,-999,-999,-999
0000_044_4_350_3_1, ,-999,-999,3,20240203,133027,0000,044,4,3,1,1,350,0,35,0,0,-999,21.8442,50,0,61,336,242642,10,24.59,96.7556,24.94,-999,-999,-999
0000_044_6_290_1_1, ,-999,-999,3,20240203,135729,0000,044,6,1,1,1,290,0,35,0,0,-999,21.8442,50,0,19,337,242351,10,24.34,96.7556,24.89,-999,-999,-999
0000_044_6_290_2_1, ,-999,-999,3,20240203,142410,0000,044,6,2,1,1,290,0,35,0,0,-999,21.8442,50,0,0,558,242487,10,24.46,96.7556,24.89,-999,-999,-999
0000_044_6_290_3_1, ,-999,-999,3,20240203,145205,0000,044,6,3,1,1,290,0,35,0,0,-999,21.8442,50,0,0,362,242420,10,24.39,96.7556,24.88,-999,-999,-999
0000_044_8_225_1_1, ,-999,-999,3,20240203,151944,0000,044,8,1,1,1,225,0,35,0,0,-999,21.8442,50,0,34,454,241548,10,24.37,96.7556,24.89,-999,-999,-999
0000_044_12_200_1_1, ,-999,-999,3,20240203,155223,0000,044,12,1,1,1,200,0,35,0,0,-999,21.8442,50,0,0,401,241597,10,24.3,96.7556,24.88,-999,-999,-999
0000_044_13_160_1_1, ,-999,-999,3,20240203,164348,0000,044,13,1,1,1,160,0,35,0,0,-999,21.8442,50,0,39,322,241604,10,24.47,96.7556,24.88,-999,-999,-999
0000_044_14_30_1_1, ,-999,-999,3,20240203,171339,0000,044,14,1,1,1,30,0,35,0,0,-999,21.8442,50,0,23,564,239724,10,24.79,96.7556,24.9,-999,-999,-999
0000_044_16_19_1_1, ,-999,-999,3,20240203,174224,0000,044,16,1,1,1,19,0,35,0,0,-999,21.8442,50,0,0,255,233406,10,24.48,96.7556,24.7,-999,-999,-999
0000_044_18_12_1_1, ,-999,-999,3,20240203,180959,0000,044,18,1,1,1,12,0,35,0,0,-999,21.8442,50,0,0,340,217209,10,24.65,96.7556,24.71,-999,-999,-999
0000_044_19_8_1_1, ,-999,-999,3,20240203,190345,0000,044,19,1,1,1,8,0,35,0,0,-999,21.8442,50,0,0,267,214203,10,24.87,96.7556,24.53,-999,-999,-999
0000_044_21_5_1_1, ,-999,-999,3,20240203,193235,0000,044,21,1,1,1,5,0,35,0,0,-999,21.8442,50,0,82,304,212864,10,25.11,96.7556,24.87,-999,-999,-999
0000_044_22_3_1_1, ,-999,-999,3,20240203,200446,0000,044,22,1,1,1,3,0,35,0,0,-999,21.8442,50,0,31,447,212911,10,24.74,96.7556,24.87,-999,-999,-999
0000_044_24_2_1_1, ,-999,-999,3,20240203,203330,0000,044,24,1,1,1,2,0,35,0,0,-999,21.8442,50,0,20,290,212666,10,24.93,96.7556,24.98,-999,-999,-999
3333_202402030541_1_7_1_1, ,-999,-999,3,20240203,210050,3333,202402030541,1,1,1,1,7,0,35,0,0,-999,21.8442,50,0,0,326,216731,10,24.88,96.7556,24.92,-999,-999,-999
3333_202402030541_1_7_2_1, ,-999,-999,3,20240203,212816,3333,202402030541,1,2,1,1,7,0,35,0,0,-999,21.8442,50,0,54,359,216711,10,24.75,96.7556,24.95,-999,-999,-999
3333_202402021659_1_7_1_1, ,-999,-999,3,20240203,220328,3333,202402021659,1,1,1,1,7,0,35,0,0,-999,21.8442,50,0,36,400,212408,10,24.41,96.7556,24.89,-999,-999,-999
3333_202402021659_1_7_2_1, ,-999,-999,3,20240203,223223,3333,202402021659,1,2,1,1,7,0,35,0,0,-999,21.8442,50,0,0,222,212428,10,24.45,96.7556,24.97,-999,-999,-999
8888_208_1168_0_1_1, ,-999,-999,3,20240203,230109,8888,208,1168,1,1,2,0,0,35,0,0,-999,21.8442,50,0,0,291,222834,10,24.39,96.7556,24.86,-999,-999,-999
8888_208_1168_0_1_2, ,-999,-999,3,20240203,232747,8888,208,1168,1,2,2,0,0,35,0,0,-999,21.8442,50,0,52,242,222735,10,24.5,96.7556,24.89,-999,-999,-999
9999_20240203_5_0_1_1, ,-999,-999,1,20240204,002712,9999,20240203,5,1,1,5,0,0,35,0,0,-999,21.8442,200,0,89,228,237948,11,24,96.7556,-999,-999,-999,-999
9999_20240203_5_0_1_2, ,-999,-999,1,20240204,003909,9999,20240203,5,1,2,5,0,0,35,0,0,-999,21.8442,200,0,43,223,237497,11,24.39,96.7556,-999,-999,-999,-999
9999_20240203_5_0_1_3, ,-999,-999,1,20240204,005130,9999,20240203,5,1,3,5,0,0,35,0,0,-999,21.8442,200,0,14,246,237115,11,24.59,96.7556,-999,-999,-999,-999
9999_20240203_5_0_1_4, ,-999,-999,1,20240204,010332,9999,20240203,5,1,4,5,0,0,35,0,0,-999,21.8442,200,0,14,228,237317,11,24.6,96.7556,-999,-999,-999,-999
9999_20240203_5_0_1_5, ,-999,-999,1,20240204,011539,9999,20240203,5,1,5,5,0,0,35,0,0,-999,21.8442,200,0,39,233,237369,11,24.59,96.7556,-999,-999,-999,-999
9999_20240203_6_0_1_1, ,-999,-999,1,20240204,013652,9999,20240203,6,1,1,5,0,0,35,0,0,-999,21.8442,50,0,27,677,238152,11,24.45,96.7556,-999,-999,-999,-999
